Input,Name,Spotify URL,Artist ID
MC Stan,MC STAN,https://open.spotify.com/artist/5uemEEtB1ZC3s1KM7gReeH,5uemEEtB1ZC3s1KM7gReeH
Tony Kakkar,Tony Kakkar,https://open.spotify.com/artist/0NZtn1Kyq08alpHCTRf3dv,0NZtn1Kyq08alpHCTRf3dv
King,King,https://open.spotify.com/artist/5NHm4TU5Twz7owibYxJfFU,5NHm4TU5Twz7owibYxJfFU
Emiway Bantai,Emiway Bantai,https://open.spotify.com/artist/008PpLcKUtVXle6JSwkq3I,008PpLcKUtVXle6JSwkq3I
Taylor swift,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02
Ap Dillon,AP Dhillon,https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB,6LEG9Ld1aLImEFEVHdWNSB
Rihanna,Rihanna,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H
Drake,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4
Eminem,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR
Coldplay,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU
Selena Gomez,Selena Gomez,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx
The chainsmokers,The Chainsmokers,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,69GGBxA162lTqCwzJG5jLp
Arijit singh,Arijit Singh,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,4YRxDV8wJFPHPTeXepOstw
Pritam,Pritam,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,1wRPtKGflJrBx9BmLsSwlU
The Weeknd,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ
Maroon5,Maroon 5,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP
One direction,One Direction,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq
5SOS,5 Seconds of Summer,https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy,5Rl15oVamLq7FbSb0NNBNy
Ed Sheeran,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V
Kanye west,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x
Justing bieber,Justin Bieber,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s
Imagine dragons,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,53XhwfbYqKCa1cC15pYq2q
Calvin Harris,Calvin Harris,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY
Ariana grande,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR
Post malone,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,246dkjvS1zLTtiykXe5h60
Billie eolith,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH
ASAP Rockey,A$AP Rocky,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,13ubrt8QOOCPljQ2FL1Kca
Travis scot,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY
Shakira,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,0EmeFodog0BfCgMzAIvKQp
Shawn Mendes,Shawn Mendes,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr
Martin garrix,Martin Garrix,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,60d24wfXkVzDSfLS6hyCjZ
Dua lipa,Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we
Zayn Malik,ZAYN,https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81,5ZsFI1h6hIdQRw2ti0hz81
Harry Styles,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3
Ar rehman,A.R. Rahman,https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG,1mYsTxnqsietFxj1OgoGbG
Neha lakkar,Neha Kakkar,https://open.spotify.com/artist/5f4QpKfy7ptCHwTqspnSJI,5f4QpKfy7ptCHwTqspnSJI
Shreyasâ€™s ghoshal,Shreya Ghoshal,https://open.spotify.com/artist/0oOet2f43PA68X5RxKobEy,0oOet2f43PA68X5RxKobEy
Sonu nizam,Sonu Nigam,https://open.spotify.com/artist/1dVygo6tRFXC8CSWURQJq2,1dVygo6tRFXC8CSWURQJq2
